gameId,seed,winner,winnerLabel,roundsPlayed,sideADamageTaken,sideBDamageTaken,sideADefeated,sideBDefeated
1,42,sideA,Imperial Force,21,5,0,1,0
2,43,sideA,Imperial Force,21,0,0,0,0
3,44,sideB,Hero Party,8,25,24,5,1
4,45,sideB,Hero Party,6,25,5,5,0
5,46,sideB,Hero Party,8,25,26,5,0
6,47,sideA,Imperial Force,21,5,0,1,0
7,48,sideB,Hero Party,7,25,18,5,0
8,49,sideB,Hero Party,7,25,23,5,0
9,50,sideA,Imperial Force,21,5,0,1,0
10,51,sideB,Hero Party,8,25,21,5,0
11,52,sideB,Hero Party,7,25,16,5,0
12,53,sideB,Hero Party,5,25,0,5,0
13,54,sideB,Hero Party,6,25,20,5,0
14,55,sideB,Hero Party,6,25,27,5,0
15,56,sideB,Hero Party,8,25,14,5,1
16,57,sideB,Hero Party,7,25,17,5,0
17,58,sideA,Imperial Force,21,5,0,1,0
18,59,sideB,Hero Party,6,25,8,5,0
19,60,sideB,Hero Party,7,25,32,5,1
20,61,sideA,Imperial Force,21,5,0,1,0
21,62,sideB,Hero Party,9,25,34,5,2
22,63,sideB,Hero Party,6,25,25,5,0
23,64,sideB,Hero Party,6,25,32,5,0
24,65,sideA,Imperial Force,21,0,0,0,0
25,66,sideB,Hero Party,8,25,15,5,0
26,67,sideA,Imperial Force,21,0,0,0,0
27,68,sideB,Hero Party,6,25,6,5,0
28,69,sideB,Hero Party,5,25,0,5,0
29,70,sideB,Hero Party,6,25,20,5,0
30,71,sideA,Imperial Force,21,0,0,0,0
31,72,sideB,Hero Party,6,25,35,5,1
32,73,sideB,Hero Party,6,25,34,5,1
33,74,sideB,Hero Party,10,25,32,5,1
34,75,sideB,Hero Party,7,25,25,5,1
35,76,sideB,Hero Party,6,25,25,5,1
36,77,sideB,Hero Party,8,25,35,5,1
37,78,sideA,Imperial Force,21,5,0,1,0
38,79,sideB,Hero Party,9,25,34,5,1
39,80,sideB,Hero Party,6,25,16,5,0
40,81,sideB,Hero Party,7,25,30,5,1
41,82,sideA,Imperial Force,21,0,0,0,0
42,83,sideA,Imperial Force,21,0,0,0,0
43,84,sideB,Hero Party,7,25,0,5,0
44,85,sideB,Hero Party,5,25,21,5,0
45,86,sideB,Hero Party,6,25,17,5,0
46,87,sideB,Hero Party,8,25,35,5,0
47,88,sideB,Hero Party,6,25,28,5,0
48,89,sideB,Hero Party,7,25,18,5,0
49,90,sideB,Hero Party,8,25,25,5,0
50,91,sideB,Hero Party,5,25,16,5,0
51,92,sideB,Hero Party,5,25,0,5,0
52,93,sideA,Imperial Force,21,0,0,0,0
53,94,sideB,Hero Party,5,25,14,5,0
54,95,sideA,Imperial Force,21,5,0,1,0
55,96,sideB,Hero Party,8,25,12,5,0
56,97,sideA,Imperial Force,21,5,0,1,0
57,98,sideA,Imperial Force,21,5,0,1,0
58,99,sideA,Imperial Force,21,0,0,0,0
59,100,sideA,Imperial Force,21,0,0,0,0
60,101,sideA,Imperial Force,21,0,0,0,0
61,102,sideB,Hero Party,6,25,15,5,0
62,103,sideB,Hero Party,7,25,25,5,0
63,104,sideB,Hero Party,5,25,20,5,0
64,105,sideB,Hero Party,12,25,44,5,2
65,106,sideB,Hero Party,6,25,22,5,0
66,107,sideB,Hero Party,5,25,18,5,0
67,108,sideB,Hero Party,6,25,7,5,0
68,109,sideA,Imperial Force,21,0,0,0,0
69,110,sideB,Hero Party,10,25,25,5,1
70,111,sideB,Hero Party,6,25,16,5,0
71,112,sideA,Imperial Force,21,0,0,0,0
72,113,sideB,Hero Party,6,25,31,5,1
73,114,sideB,Hero Party,6,25,0,5,0
74,115,sideB,Hero Party,7,25,41,5,1
75,116,sideB,Hero Party,6,25,0,5,0
76,117,sideB,Hero Party,8,25,29,5,0
77,118,sideB,Hero Party,7,25,22,5,0
78,119,sideB,Hero Party,5,25,14,5,1
79,120,sideB,Hero Party,7,25,12,5,1
80,121,sideB,Hero Party,8,25,33,5,0
81,122,sideB,Hero Party,6,25,9,5,0
82,123,sideA,Imperial Force,21,0,0,0,0
83,124,sideB,Hero Party,7,25,41,5,0
84,125,sideA,Imperial Force,21,0,0,0,0
85,126,sideA,Imperial Force,21,5,0,1,0
86,127,sideB,Hero Party,7,25,10,5,0
87,128,sideB,Hero Party,7,25,30,5,1
88,129,sideA,Imperial Force,21,0,0,0,0
89,130,sideB,Hero Party,8,25,18,5,1
90,131,sideB,Hero Party,6,25,12,5,0
91,132,sideB,Hero Party,6,25,20,5,0
92,133,sideA,Imperial Force,21,5,0,1,0
93,134,sideA,Imperial Force,21,5,0,1,0
94,135,sideB,Hero Party,6,25,10,5,0
95,136,sideA,Imperial Force,21,0,0,0,0
96,137,sideB,Hero Party,6,25,7,5,0
97,138,sideB,Hero Party,7,25,23,5,0
98,139,sideB,Hero Party,6,25,39,5,0
99,140,sideB,Hero Party,6,25,20,5,0
100,141,sideB,Hero Party,7,25,20,5,0
