gameId,seed,winner,winnerLabel,roundsPlayed,sideADamageTaken,sideBDamageTaken,sideADefeated,sideBDefeated
1,42,sideA,Elite Trooper,16,0,0,0,0
2,43,sideB,Vex Dorin,10,8,10,1,0
3,44,sideA,Elite Trooper,9,0,18,0,1
4,45,sideA,Elite Trooper,16,4,12,0,0
5,46,sideB,Vex Dorin,15,8,12,1,0
6,47,sideA,Elite Trooper,16,0,0,0,0
7,48,sideA,Elite Trooper,16,0,0,0,0
8,49,sideA,Elite Trooper,16,0,0,0,0
9,50,sideA,Elite Trooper,16,0,0,0,0
10,51,sideA,Elite Trooper,12,0,16,0,1
11,52,sideA,Elite Trooper,7,0,12,0,1
12,53,sideB,Vex Dorin,14,8,12,1,0
13,54,sideA,Elite Trooper,15,0,14,0,1
14,55,sideA,Elite Trooper,14,0,18,0,1
15,56,sideA,Elite Trooper,10,5,12,0,1
16,57,sideB,Vex Dorin,9,8,8,1,0
17,58,sideA,Elite Trooper,16,0,0,0,0
18,59,sideA,Elite Trooper,16,0,0,0,0
19,60,sideA,Elite Trooper,13,0,18,0,1
20,61,sideA,Elite Trooper,16,0,0,0,0
21,62,sideB,Vex Dorin,6,8,0,1,0
22,63,sideB,Vex Dorin,6,8,0,1,0
23,64,sideB,Vex Dorin,3,8,0,1,0
24,65,sideB,Vex Dorin,8,8,14,1,0
25,66,sideA,Elite Trooper,13,0,18,0,1
26,67,sideA,Elite Trooper,13,4,12,0,1
27,68,sideB,Vex Dorin,15,8,10,1,0
28,69,sideB,Vex Dorin,4,8,10,1,0
29,70,sideA,Elite Trooper,16,4,12,0,0
30,71,sideA,Elite Trooper,16,5,14,0,0
31,72,sideB,Vex Dorin,11,8,8,1,0
32,73,sideB,Vex Dorin,2,8,0,1,0
33,74,sideB,Vex Dorin,4,8,10,1,0
34,75,sideA,Elite Trooper,16,0,14,0,0
35,76,sideB,Vex Dorin,14,8,6,1,0
36,77,sideA,Elite Trooper,7,0,12,0,1
37,78,sideA,Elite Trooper,16,0,0,0,0
38,79,sideB,Vex Dorin,5,8,9,1,0
39,80,sideA,Elite Trooper,16,4,6,0,0
40,81,sideB,Vex Dorin,11,8,12,1,0
41,82,sideB,Vex Dorin,7,8,14,1,0
42,83,sideA,Elite Trooper,7,4,18,0,1
43,84,sideA,Elite Trooper,16,0,0,0,0
44,85,sideA,Elite Trooper,16,5,12,0,0
45,86,sideB,Vex Dorin,5,8,0,1,0
46,87,sideB,Vex Dorin,12,8,0,1,0
47,88,sideB,Vex Dorin,2,8,0,1,0
48,89,sideB,Vex Dorin,10,8,12,1,0
49,90,sideA,Elite Trooper,16,0,16,0,0
50,91,sideA,Elite Trooper,16,0,14,0,0
51,92,sideA,Elite Trooper,16,0,0,0,0
52,93,sideB,Vex Dorin,12,8,8,1,0
53,94,sideB,Vex Dorin,10,8,8,1,0
54,95,sideA,Elite Trooper,16,0,0,0,0
55,96,sideB,Vex Dorin,3,8,0,1,0
56,97,sideA,Elite Trooper,16,0,0,0,0
57,98,sideA,Elite Trooper,16,0,0,0,0
58,99,sideA,Elite Trooper,8,0,18,0,1
59,100,sideB,Vex Dorin,7,8,0,1,0
60,101,sideB,Vex Dorin,12,8,16,1,0
61,102,sideA,Elite Trooper,16,0,0,0,0
62,103,sideA,Elite Trooper,6,6,20,0,1
63,104,sideB,Vex Dorin,7,8,0,1,0
64,105,sideB,Vex Dorin,4,8,0,1,0
65,106,sideA,Elite Trooper,8,0,14,0,1
66,107,sideB,Vex Dorin,8,8,16,1,0
67,108,sideA,Elite Trooper,8,0,12,0,1
68,109,sideB,Vex Dorin,8,8,9,1,0
69,110,sideB,Vex Dorin,5,8,0,1,0
70,111,sideB,Vex Dorin,3,8,0,1,0
71,112,sideA,Elite Trooper,16,0,0,0,0
72,113,sideB,Vex Dorin,2,8,0,1,0
73,114,sideA,Elite Trooper,16,0,0,0,0
74,115,sideB,Vex Dorin,10,8,16,1,0
75,116,sideB,Vex Dorin,3,8,0,1,0
76,117,sideA,Elite Trooper,7,0,22,0,1
77,118,sideB,Vex Dorin,13,8,8,1,0
78,119,sideB,Vex Dorin,9,8,0,1,0
79,120,sideB,Vex Dorin,13,8,12,1,0
80,121,sideB,Vex Dorin,11,8,6,1,0
81,122,sideA,Elite Trooper,8,7,18,0,1
82,123,sideB,Vex Dorin,11,8,12,1,0
83,124,sideA,Elite Trooper,15,5,12,0,1
84,125,sideB,Vex Dorin,3,8,0,1,0
85,126,sideA,Elite Trooper,16,0,0,0,0
86,127,sideB,Vex Dorin,15,8,18,1,0
87,128,sideA,Elite Trooper,16,6,12,0,0
88,129,sideA,Elite Trooper,14,4,16,0,1
89,130,sideB,Vex Dorin,10,8,12,1,0
90,131,sideA,Elite Trooper,16,4,18,0,0
91,132,sideA,Elite Trooper,16,5,16,0,0
92,133,sideA,Elite Trooper,16,0,0,0,0
93,134,sideA,Elite Trooper,16,0,0,0,0
94,135,sideA,Elite Trooper,10,0,14,0,1
95,136,sideA,Elite Trooper,9,7,12,0,1
96,137,sideA,Elite Trooper,9,4,18,0,1
97,138,sideB,Vex Dorin,11,8,20,1,0
98,139,sideB,Vex Dorin,9,8,16,1,0
99,140,sideA,Elite Trooper,10,0,16,0,1
100,141,sideB,Vex Dorin,6,8,0,1,0
